buildingtypeid,buildingshapeid,costtype,class1.intercept,class1.slope,class2.intercept,class2.slope,class3.intercept,class3.slope,class4.intercept,class4.slope,class5.intercept,class5.slope,class6.intercept,class6.slope
1,1,FirstFloor,210.8882884,6865.586051,127.9682053,4181.418562,83.27985693,2633.270227,60.36020116,1960.585684,48.90236198,1594.954283,38.07153,1271.895993
1,2,FirstFloor,220.5912023,6821.15618,133.4815833,4163.344261,85.30187554,2667.26846,63.50158782,1945.566069,50.85546017,1594.187166,40.23568165,1254.287973
1,3,FirstFloor,227.0546014,6915.279931,138.6081307,4166.899823,89.61968245,2638.559581,65.14478681,1975.572578,52.80148167,1602.858946,39.22928486,1335.470694
1,4,FirstFloor,234.7170761,6974.543782,143.4900613,4184.553078,91.71014945,2684.245837,67.29873579,1989.234109,54.9208625,1596.308999,43.495325,1254.49313
2,11,FirstFloor,107.5309943,1447.728864,82.58333482,1102.090551,69.04127951,922.4098921,58.82746263,784.7249837,53.53607642,733.7745688,,
2,12,FirstFloor,101.1167523,1370.71296,78.27457045,1028.227868,65.11280084,870.0106364,55.05576002,750.5593436,51.26033207,681.124053,,
2,13,FirstFloor,96.7892845,1251.347659,73.67443407,977.6927082,62.15143107,815.7202988,53.0460298,686.905006,49.11419206,626.4678959,,
3,21,FirstFloor,91.11827149,1257.636432,77.86194907,1069.136361,64.19010565,948.0766493,55.853626,759.5765778,,,,
3,22,FirstFloor,88.09991272,1220.519916,74.57102079,1051.474489,64.18785071,882.154136,53.19375088,749.8639046,,,,
3,23,FirstFloor,84.01976324,1202.978226,73.33959146,995.8443681,57.59701809,928.4202911,52.17495532,714.2257172,,,,
5,1,FirstFloor,181.2532614,4757.713541,113.172827,4800.646092,56.16482202,3819.251411,47.28526092,3178.445249,40.91793168,2684.227434,36.86401915,2226.046006
5,2,FirstFloor,188.0568384,4814.343532,118.637068,4823.340865,59.71667225,3838.13908,49.93132139,3202.759743,43.63211121,2691.239799,37.96657663,2264.981632
5,3,FirstFloor,195.7357312,4816.948198,124.1274252,4845.115342,62.7789679,3867.654978,52.49601164,3228.285862,39.01194319,2784.888775,38.35026777,2331.52574
5,4,FirstFloor,200.0874558,4903.660935,126.5089725,4972.842429,65.45782952,3916.690642,54.90040984,3254.253474,47.39884608,2753.427318,42.66750948,2269.629212
6,1,FirstFloor,46.53843275,3150.12282,41.30169811,2599.506996,37.87317841,2303.075347,33.64826889,1794.178492,,,,
6,2,FirstFloor,50.6525853,3127.671061,44.17433431,2586.033864,41.41391898,2251.157454,33.80898612,1836.977437,,,,
6,3,FirstFloor,53.5730321,3132.382096,46.99922105,2585.833573,42.70303199,2291.829694,35.73022711,1840.472673,,,,
