rowid,bldgclass,bsmttype,floodtype,ft04m,ft03m,ft02m,ft01m,ft00,ft01,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
1,A0,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
2,A0,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
3,A0,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
4,A0,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
5,A1,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
6,A1,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
7,A1,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
8,A1,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
9,A2,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
10,A2,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
11,A2,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
