"latitude","longitude","bbl","numfloors","flood_type","undefined","wood","masonry","concrete","steel","bldgshape_id","bsmtarea","nb_singlefloorarea","b_singlefloorarea","mod","boolean"
40.6926714,-74.0182386,1000010010,0,"Salt",,406,405,,,10,,,,1.198,FALSE
40.6898035,-74.0450187,1000010101,0,"Salt",,408,407,,,10,,,,1.198,FALSE
40.6898035,-74.0450187,1000010201,0,"Salt",,,,,,,,,,1.198,FALSE
40.7754616,-73.9915197,1000010301,0,,,,,,,,,,,1.198,FALSE
40.7754616,-73.9915197,1000010401,0,,,,,,,,,,,1.198,FALSE
40.743493,-73.9716586,1000020001,5,"Salt",,406,405,,,10,,56000,46666.6666666667,1.198,FALSE
40.7012698,-74.0116969,1000020002,5,"Salt",,406,405,,,10,,31639.4,26366.1666666667,1.198,TRUE
40.743493,-73.9716586,1000020003,1,,,406,405,,,10,,7500,3750,1.198,FALSE
40.6932222,-74.0016887,1000020023,2,"Salt",,,,,,,,12173,8115.33333333333,1.198,FALSE
40.7032775,-74.0170279,1000030001,1,"Salt",,,,,,,0,945425,,1.198,FALSE
40.701747,-74.013996,1000030002,0,,,,,,,,,,,1.198,FALSE
40.701747,-74.013996,1000030003,0,"Salt",,,,,,,0,,,1.198,FALSE
40.7830603,-73.9712488,1000030004,0,,,,,,,,,,,,FALSE
40.7010383,-74.0144042,1000030010,3,"Salt",,,,,,,0,41266.6666666667,,1.198,FALSE
40.7021565,-74.0121223,1000047501,50,"Salt",,11,10,,,32,,37762.52,37022.0784313726,1.198,TRUE
40.702764,-74.010757,1000050010,22,"Salt",,32,30,,,31,44191.5652173913,,44191.5652173913,1.198,TRUE
40.7023453,-74.0105063,1000057501,40,"Salt",,32,30,,,32,,25605.725,24981.1951219512,1.198,TRUE
40.7018411,-74.0109179,1000060001,0,"Salt",,,,,,,,,,1.198,FALSE
40.7033,-74.0110289,1000070027,4.5,"Salt",,11,10,,,32,660.363636363636,,660.363636363636,1.198,TRUE
40.7030816,-74.0110088,1000070028,4.5,"Salt",2,,,,,11,746.181818181818,,746.181818181818,1.198,TRUE
40.70325,-74.011122,1000070029,5,"Salt",,408,407,,,10,800,,800,1.198,TRUE
40.703218,-74.011221,1000070030,5,"Salt",,408,407,,,10,1007.5,,1007.5,1.198,TRUE
40.7031685,-74.0115599,1000070031,5,"Salt",2,,,,,12,1245.83333333333,,1245.83333333333,1.198,TRUE
40.7036075,-74.01159,1000070033,3,"Salt",,408,407,,,10,1530,,1530,1.198,TRUE
40.7033377,-74.0114849,1000070035,4,"Salt",,408,407,,,10,1623.8,,1623.8,1.198,TRUE
40.703394,-74.011174,1000070037,5.5,"Salt",,408,407,,,10,1421.53846153846,,1421.53846153846,1.198,TRUE
40.703428,-74.011081,1000070038,5,"Salt",2,,,,,12,,1497,1247.5,1.198,TRUE
40.7036657,-74.0106214,1000077501,6,"Salt",2,,,,,13,,7349.5,6299.57142857143,1.198,TRUE
40.7031228,-74.0108484,1000077502,4.5,"Salt",2,,,,,11,,3309.77777777778,2708,1.198,TRUE
40.7032519,-74.0124238,1000080039,7.5,"Salt",3,,,,,21,5496.94117647059,,5496.94117647059,1.198,TRUE
40.703135,-74.011937,1000080044,0,"Salt",,,,,,,,,,1.198,FALSE
40.7027061,-74.0122305,1000080051,0,"Salt",3,,,,,21,0,,,1.198,FALSE
40.7029384,-74.0126855,1000087501,19,"Salt",2,,,,,13,,8897.94736842105,8453.05,1.198,TRUE
40.7028209,-74.0135825,1000090001,32,"Salt",,32,30,,,31,25606.6060606061,,25606.6060606061,1.198,TRUE
40.702612,-74.0136969,1000090007,4.5,"Salt",60,,,,,10,1579.09090909091,,1579.09090909091,1.198,TRUE
40.702795,-74.01412,1000090014,42,"Salt",,32,30,,,31,12651.511627907,,12651.511627907,1.198,TRUE
40.7031192,-74.0135342,1000090029,35,"Salt",,32,30,,,32,24915.4444444444,,24915.4444444444,1.198,TRUE
40.703459,-74.012096,1000100001,2,"Salt",,32,30,,,33,8161.33333333333,,8161.33333333333,1.198,TRUE
40.7034323,-74.0126601,1000100014,30,"Salt",,32,30,,,32,11799.7419354839,,11799.7419354839,1.198,TRUE
40.703459,-74.0126638,1000100015,7,"Salt",,32,30,,,31,,2118.42857142857,1853.625,1.198,TRUE
40.7037939,-74.0119961,1000100016,24,"Salt",,32,30,,,31,13441,,13441,1.198,TRUE
40.703721,-74.012376,1000100019,5,"Salt",,11,10,,,32,1233.83333333333,,1233.83333333333,1.198,TRUE
40.7038411,-74.0127412,1000100023,21,"Salt",,32,30,,,31,14636.0909090909,,14636.0909090909,1.198,TRUE
40.7039279,-74.012469,1000100032,5,"Salt",2,,,,,12,1512.5,,1512.5,1.198,TRUE
40.7038856,-74.0123361,1000100033,43,"Salt",3,,,,,21,3266.59090909091,,3266.59090909091,1.198,TRUE
40.7045399,-74.0130866,1000110001,32,"Salt",,32,30,,,31,46347.8787878788,,46347.8787878788,1.198,TRUE
40.704817,-74.0124913,1000110007,6,"Salt",,32,30,,,31,2239.71428571429,,2239.71428571429,1.198,TRUE
40.7049855,-74.0123803,1000110009,4,"Salt",2,,,,,11,1703.2,,1703.2,1.198,TRUE
40.7049778,-74.0122937,1000110010,4,"Salt",2,,,,,12,1354,,1354,1.198,TRUE
40.7049674,-74.0121759,1000110011,4,"Salt",2,,,,,12,1200,,1200,1.198,TRUE
40.7049604,-74.0120974,1000110012,4,"Salt",2,,,,,12,1009.2,,1009.2,1.198,TRUE
40.7049486,-74.0119634,1000110014,19,"Salt",2,,,,,13,2569.35,,2569.35,1.198,TRUE
40.7047946,-74.01158,1000110015,5.5,"Salt",,32,30,,,31,0,3541.45454545455,,1.198,TRUE
40.7046081,-74.011582,1000110017,6,"Salt",,32,30,,,32,3030.85714285714,,3030.85714285714,1.198,TRUE
40.7043408,-74.0118572,1000110021,35,"Salt",,32,30,,,31,10047.5,,10047.5,1.198,TRUE
40.7042701,-74.011876,1000110026,3,"Salt",2,,,,,11,1230,,1230,1.198,TRUE
40.7830603,-73.9712488,1000110028,0,,,,,,,,,,,,FALSE
40.7040395,-74.0122487,1000110029,0,"Salt",,,,,,,,,,1.198,FALSE
40.7041877,-74.0121524,1000117501,5,"Salt",2,,,,,12,,1826.4,1522,1.198,TRUE
40.704049,-74.013757,1000120001,7,"Salt",,408,407,,,10,40083.125,,40083.125,1.198,TRUE
40.702654,-74.0129061,1000120028,0,,,,,,,,,,,1.198,FALSE
40.7045327,-74.0142647,1000130001,14,"Salt",,32,30,,,31,,12903.2857142857,12043.0666666667,1.198,TRUE
40.7052529,-74.0140703,1000130005,22,"Salt",,32,30,,,31,18879.1304347826,,18879.1304347826,1.198,TRUE
40.7055603,-74.0139587,1000130027,23,"Salt",,32,30,,,31,33725.0416666667,,33725.0416666667,1.198,TRUE
40.7063666,-74.0156634,1000150022,31,"Salt",2,,,,,13,0,10830.5161290323,,1.2034,TRUE
40.7051613,-74.0159706,1000157501,31,"Salt",2,,,,,13,,38787.6451612903,37575.53125,1.198,FALSE
40.7062146,-74.0157157,1000157502,45,"Salt",2,,,,,13,,3996.8,3909.91304347826,1.198,TRUE
40.7048317,-74.0169728,1000160001,3,"Salt",,11,10,,,33,0,9577.33333333333,,1.2274,TRUE
40.7115735,-74.0158133,1000160003,27,"Salt",,,,,,,,111.111111111111,107.142857142857,1.3152,FALSE
40.7063131,-74.018353,1000160010,4,"Salt",,408,407,,,10,,28525,22820,1.2274,TRUE
40.8191768,-73.9606779,1000160012,0,,,,,,,,,,,,FALSE
40.7066236,-74.018017,1000160015,9,"Salt",2,,,,,13,,26573.8888888889,23916.5,1.2274,TRUE
40.7073089,-74.017235,1000160020,9,"Salt",2,,,,,13,,25640.6666666667,23076.6,1.2274,TRUE
40.7065629,-74.0175278,1000160040,8,"Salt",,402,401,,,10,0,16760.25,,1.2274,TRUE
40.7112527,-74.0165162,1000160100,5,"Salt",2,,,,,13,,376324.2,313603.5,1.2274,FALSE
40.7111252,-74.0154784,1000160120,39,"Salt",,32,30,,,31,,38509.6923076923,37546.95,1.3152,TRUE
40.7119835,-74.0152654,1000160125,43,"Salt",,32,30,,,31,,52742.4418604651,51543.75,1.3152,FALSE
40.7136518,-74.0148072,1000160140,50,"Salt",,32,30,,,31,0,44673.84,,1.3152,TRUE
40.7141805,-74.0155677,1000160150,33,"Salt",,32,30,,,31,,63153.9090909091,61296.4411764706,1.3152,TRUE
40.8191768,-73.9606779,1000160160,0,"Salt",,,,,,,,,,1.3152,FALSE
